Item,Binomial (Alphabetical),Sentence
188,radio and television,Seth follows both television and radio broadcasts to stay informed about current events.
189,radio and television,"Susie didn't like to read, so radio and television were her favorite forms of entertainment.		"
189,radio and television,"Susie didn't like to read, so television and radio were her favorite forms of entertainment.		"
190,radio and television,"The advent of radio and television marked the beginning of the decline of newspapers.		"
190,radio and television,"The advent of television and radio marked the beginning of the decline of newspapers.		"
191,rats and sharks,Billy drew almost nothing but rats and sharks day after day in elementary school art class.
191,rats and sharks,Billy drew almost nothing but sharks and rats day after day in elementary school art class.
192,rats and sharks,Jenny was interested in rats and sharks as a young child.
192,rats and sharks,Jenny was interested in sharks and rats as a young child.
193,rats and sharks,"Teresa loved rats and sharks, and wanted to be a biologist when she grew up."
193,rats and sharks,"Teresa loved sharks and rats, and wanted to be a biologist when she grew up."
194,read and write,"Although she had been studying it for a while, she was just beginning to learn to read and write in German.		"
194,read and write,"Although she had been studying it for a while, she was just beginning to learn to write and read in German.		"
195,read and write,Some children enjoy learning to read and write but others dislike it.
195,read and write,Some children enjoy learning to write and read but others dislike it.
196,read and write,"The ability to read and write is an important factor in determining a person's success.		"
196,read and write,"The ability to write and read is an important factor in determining a person's success.		"
197,right and wrong,Historians can attest to the fact that right and wrong have often been determined by the victor in a conflict.
197,right and wrong,Historians can attest to the fact that wrong and right have often been determined by the victor in a conflict.
198,right and wrong,"In many cases, what is right and wrong is subjective opinion.		"
198,right and wrong,"In many cases, what is wrong and right is subjective opinion.		"
199,right and wrong,Teaching children what is right and wrong is a difficult task for parents.
199,right and wrong,Teaching children what is wrong and right is a difficult task for parents.
200,safe and sound,"After the storm, Haley was glad to hear that her grandparents were safe and sound in their country home."
200,safe and sound,"After the storm, Haley was glad to hear that her grandparents were sound and safe in their country home."
201,safe and sound,"Every night the baby lay safe and sound in her crib.		"
201,safe and sound,"Every night the baby lay sound and safe in her crib.		"
202,safe and sound,My aunt was relieved to find her wedding dress still safe and sound after a burglar robbed her house.
202,safe and sound,My aunt was relieved to find her wedding dress still sound and safe after a burglar robbed her house.
203,shares and stocks,The broker bought some risky shares and stocks without knowing it and only discovered it later.
203,shares and stocks,The broker bought some risky stocks and shares without knowing it and only discovered it later.
204,shares and stocks,The couple decided to buy some shares and stocks as an investment for the future.
204,shares and stocks,The couple decided to buy some stocks and shares as an investment for the future. 
205,shares and stocks,Valerie didn't know how to buy shares and stocks so she asked a friend to help her.
205,shares and stocks,Valerie didn't know how to buy stocks and shares so she asked a friend to help her.
206,sour and sweet,David's favorite food was sour and sweet chicken because he liked the sauce.
206,sour and sweet,David's favorite food was sweet and sour chicken because he liked the sauce.
207,sour and sweet,I found that the sour and sweet pork was much better at this new restaurant than at my favorite one.
207,sour and sweet,I found that the sweet and sour pork was much better at this new restaurant than at my favorite one.
208,sour and sweet,Susan disliked the sour and sweet soup at the fancy restaurant.
208,sour and sweet,Susan disliked the sweet and sour soup at the fancy restaurant.
210,therapy and vacations,"Katherine's boss did not want her to take time off for therapy and vacations, even though it would improve her health."
210,therapy and vacations,"Katherine's boss did not want her to take time off for vacations and therapy, even though it would improve her health."
211,therapy and vacations,Maria could use therapy and vacations to feel less stressed.
211,therapy and vacations,Maria could use vacations and therapy to feel less stressed.
212,therapy and vacations,The man managed to raise his spirits with therapy and vacations after going through a tough divorce.
212,therapy and vacations,The man managed to raise his spirits with vacations and therapy after going through a tough divorce.
213,vocabulary and vowels,I want to improve my vocabulary and vowels so I can do well on standardized tests.
213,vocabulary and vowels,I want to improve my vowels and vocabulary so I can do well on standardized tests.
214,vocabulary and vowels,Irena had trouble with vocabulary and vowels while she was learning English.
214,vocabulary and vowels,Irena had trouble with vowels and vocabulary while she was learning English.
215,vocabulary and vowels,The teacher explained the concepts of vocabulary and vowels after the student asked a question.
215,vocabulary and vowels,The teacher explained the concepts of vowels and vocabulary after the student asked a question.
