Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,TargetSentence,PrimeType,Prime,FilenamePrime,Condition,List
176,NA,NA,NA,Was it night time?,y,filler,The sun was just beginning to peek over the horizon.,filler,The moon reflected on the calm surface of the lake.,../audio/prime_filler/The_moon_reflected_on_the_calm_surface_of_the_lake.wav,NA,0
177,NA,NA,NA,Did she write her dreams in her computer?,n,filler,"He watched the sunrise, feeling a sense of new beginnings.",filler,She wrote her dreams in a small leather-bound journal.,../audio/prime_filler/She_wrote_her_dreams_in_a_small_leather-bound_journal.wav,NA,0
178,NA,NA,NA,Was the bakery cozy?,y,filler,The city lights reflected on the wet streets after the rain.,filler,The scent of fresh bread filled the cozy little bakery.,../audio/prime_filler/The_scent_of_fresh_bread_filled_the_cozy_little_bakery.wav,NA,0
179,NA,NA,NA,Was he watching the ocean?,n,filler,"She gazed at the ocean, lost in her own thoughts.",filler,He watched the clouds drift across the open sky.,../audio/prime_filler/He_watched_the_clouds_drift_across_the_open_sky.wav,NA,0
180,NA,NA,NA,Was it raining?,y,filler,The old rocking chair creaked as he sat down slowly.,filler,She felt a raindrop on her cheek as she looked up.,../audio/prime_filler/She_felt_a_raindrop_on_her_cheek_as_she_looked_up.wav,NA,0
181,NA,NA,NA,Was the river dirty?,n,filler,The library smelled of old paper and wooden shelves.,filler,"The river wound through the valley, clear and sparkling.","../audio/prime_filler/The_river_wound_through_the_valley,_clear_and_sparkling.wav",NA,0
182,NA,NA,NA,Did he hear music?,y,filler,"She savored each bite, enjoying the rich flavors.",filler,He heard a soft melody playing in the distance.,../audio/prime_filler/He_heard_a_soft_melody_playing_in_the_distance.wav,NA,0
183,NA,NA,NA,Was it a cold night?,n,filler,"The dog barked excitedly, happy to see her return.",filler,The fireflies glowed softly in the warm summer night.,../audio/prime_filler/The_fireflies_glowed_softly_in_the_warm_summer_night.wav,NA,0
184,NA,NA,NA,Did she wear a bracelet?,y,filler,"He picked up a stone, examining its smooth surface.",filler,"She wore a bracelet of small, colorful beads.","../audio/prime_filler/She_wore_a_bracelet_of_small,_colorful_beads.wav",NA,0
185,NA,NA,NA,Was the sky bright?,n,filler,The trail led them deep into the heart of the forest.,filler,The lighthouse stood tall against the darkening sky.,../audio/prime_filler/The_lighthouse_stood_tall_against_the_darkening_sky.wav,NA,0
186,NA,NA,NA,Did he watch the fish?,y,filler,She felt a sense of wonder as she gazed up at the stars.,filler,He watched the fish swim lazily in the pond.,../audio/prime_filler/He_watched_the_fish_swim_lazily_in_the_pond.wav,NA,0
187,NA,NA,NA,Was the cafe large?,n,filler,The night air was filled with the scent of blooming flowers.,filler,The scent of coffee filled the air in the tiny cafe.,../audio/prime_filler/The_scent_of_coffee_filled_the_air_in_the_tiny_cafe.wav,NA,0
188,NA,NA,NA,Did she walk through the garden?,y,filler,"He glanced at the handwritten note, puzzled by its message.",filler,"She walked through the garden, admiring each flower.","../audio/prime_filler/She_walked_through_the_garden,_admiring_each_flower.wav",NA,0
189,NA,NA,NA,Was it a busy night?,n,filler,"The small village was quiet, nestled in the valley.",filler,"The night was calm, with only the sound of crickets.","../audio/prime_filler/The_night_was_calm,_with_only_the_sound_of_crickets.wav",NA,0
190,NA,NA,NA,Did he feel peaceful?,y,filler,She watched as the paper boat floated down the stream.,filler,He felt a sense of peace by the tranquil lake.,../audio/prime_filler/He_felt_a_sense_of_peace_by_the_tranquil_lake.wav,NA,0
191,NA,NA,NA,Did she watch the airplanes?,n,filler,The air was thick with the scent of pine and fresh rain.,filler,She watched the kite soar high above the field.,../audio/prime_filler/She_watched_the_kite_soar_high_above_the_field.wav,NA,0
192,NA,NA,NA,Was the bakery busy?,y,filler,He tied his shoes and prepared for the long hike ahead.,filler,"The bakery was busy, filled with customers chatting.","../audio/prime_filler/The_bakery_was_busy,_filled_with_customers_chatting.wav",NA,0
193,NA,NA,NA,Did he watch the sunrise?,n,filler,"The breeze ruffled her hair, carrying the scent of salt.",filler,"He sat on the bench, watching the sun go down.","../audio/prime_filler/He_sat_on_the_bench,_watching_the_sun_go_down.wav",NA,0
194,NA,NA,NA,Were there many insects in the field?,y,filler,She painted the sunset with bold strokes of orange and red.,filler,The field was alive with the sound of buzzing insects.,../audio/prime_filler/The_field_was_alive_with_the_sound_of_buzzing_insects.wav,NA,0
195,NA,NA,NA,Did she place a rocker in her book?,n,filler,"The bookstore was cozy, filled with warm lights and books.",filler,She placed a feather in her book as a keepsake.,../audio/prime_filler/She_placed_a_feather_in_her_book_as_a_keepsake.wav,NA,0
196,NA,NA,NA,Did the trees sway?,y,filler,He watched as the sun disappeared below the horizon.,filler,The trees swayed gently in the evening breeze.,../audio/prime_filler/The_trees_swayed_gently_in_the_evening_breeze.wav,NA,0
197,NA,NA,NA,Did he hold a new coin?,n,filler,"The river flowed gently, reflecting the sky above.",filler,"He held an old, worn coin in his hand thoughtfully.","../audio/prime_filler/He_held_an_old,_worn_coin_in_his_hand_thoughtfully.wav",NA,0
198,NA,NA,NA,Was the forest quiet?,y,filler,She wore a necklace with a tiny silver locket.,filler,The sound of the waterfall filled the quiet forest.,../audio/prime_filler/The_sound_of_the_waterfall_filled_the_quiet_forest.wav,NA,0
199,NA,NA,NA,Did she trace her finger along the edges of a book?,n,filler,"The garden was alive with color, flowers blooming everywhere.",filler,She traced her finger along the edges of the map.,../audio/prime_filler/She_traced_her_finger_along_the_edges_of_the_map.wav,NA,0
