Item,Binomial (Alphabetical),Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
113,being and existence,The girl questioned her being and existence when she went to her last therapy session.,The girl questioned her existence and being when she went to her last therapy session.,test sentence,test sentence2,Stimuli/all_parts_combined_He_tacked_up_the_poster_on_the_bulletin_board_.wav,placeholder question
114,belly and chest,"Zack said his belly and chest were hurting, so his mom took him to the hospital.","Zack said his chest and belly were hurting, so his mom took him to the hospital.",test sentence,test sentence2,Stimuli/all_parts_combined_After_taking_a_shower__I_got_ready_for_bed_.wav,placeholder question
115,berlin and frankfurt,Sam wanted to visit berlin and frankfurt on her trip to Germany.,Sam wanted to visit frankfurt and berlin on her trip to Germany.,test sentence,test sentence2,Stimuli/all_parts_combined_The_water_is_flowing_up_from_the_fountain_in_a_mesmerizing_pattern_.wav,placeholder question
116,betrayal and murder,The book was about a betrayal and murder and Harry thought it was very interesting.,The book was about a murder and betrayal and Harry thought it was very interesting.,test sentence,test sentence2,Stimuli/all_parts_combined_She_was_cleaning_the_remnants_of_the_spilled_sauce_.wav,placeholder question
117,bicycles and robots,Dave was always building bicycles and robots when he was younger.,Dave was always building robots and bicycles when he was younger.,test sentence,test sentence2,Stimuli/all_parts_combined_Her_umbrella_flipped_up__turning_inside_out_in_the_gust_of_wind_.wav,placeholder question
118,bicycles and robots,The boy put bicycles and robots on his Christmas list this year.,The boy put robots and bicycles on his Christmas list this year.,test sentence,test sentence2,Stimuli/all_parts_combined_They_complete_the_last_tasks_of_the_project__finishing_everything_.wav,placeholder question
119,bicycles and robots,The engineer specialized in making bicycles and robots when he worked for the company.,The engineer specialized in making robots and bicycles when he worked for the company.,test sentence,test sentence2,Stimuli/all_parts_combined_Among_the_team_members__they_divided_up_the_responsibilities_.wav,placeholder question
120,bishops and seamstresses,The town square was full of bishops and seamstresses at the time of the festival.,The town square was full of seamstresses and bishops at the time of the festival.,test sentence,test sentence2,Stimuli/all_parts_combined_Just_in_time_for_the_outdoor_event__the_weather_became_nice_.wav,placeholder question
121,bishops and seamstresses,There was a huge increase in transactions between bishops and seamstresses in the weeks prior to the ceremony.,There was a huge increase in transactions between seamstresses and bishops in the weeks prior to the ceremony.,test sentence,test sentence2,Stimuli/all_parts_combined_She_quietly_sneaked_up_behind_him_and_surprised_him_with_a_kiss_.wav,placeholder question
122,bishops and seamstresses,There were many bishops and seamstresses in the small town where I grew up.,There were many seamstresses and bishops in the small town where I grew up.,test sentence,test sentence2,Stimuli/all_parts_combined_We_re_moving_to_a_new_house__so_we_re_packing_our_belongings_.wav,placeholder question
123,bitter and purple,I was unwilling to drink the juice that was bitter and purple despite my personal trainer's insistences.,I was unwilling to drink the juice that was purple and bitter despite my personal trainer's insistences.,test sentence,test sentence2,Stimuli/all_parts_combined_He_reached_to_grab_the_book_from_the_top_shelf_.wav,placeholder question
124,bitter and purple,The berries were bitter and purple when I ate them this morning.,The berries were purple and bitter when I ate them this morning.,test sentence,test sentence2,Stimuli/all_parts_combined_Before_making_a_decision__it_s_important_to_weigh_up_the_pros_and_cons_.wav,placeholder question
125,bitter and purple,The fruit looked delicious but it turned out to be bitter and purple after I took a bite.,The fruit looked delicious but it turned out to be purple and bitter after I took a bite.,test sentence,test sentence2,Stimuli/all_parts_combined_Running_into_his_old_girlfriend_was_responsible_for_bringing_back_a_lot_of_buried_feelings_.wav,placeholder question
126,bitterness and disappointment,Kim felt a lot of bitterness and disappointment when she learned that she didn't get into her dream school.,Kim felt a lot of disappointment and bitterness when she learned that she didn't get into her dream school.,test sentence,test sentence2,Stimuli/all_parts_combined_They_traveled_up_to_the_summit_of_the_mountain_to_enjoy_the_breathtaking_view_.wav,placeholder question
127,black and white,Dalmatians found in colors other than black and white are highly unusual.,Dalmatians found in colors other than white and black are highly unusual.,test sentence,test sentence2,Stimuli/all_parts_combined_The_crowd_was_intent_on_rebelling_against_the_oppressive_regime_.wav,placeholder question
128,blame and hate,She felt blame and hate because of the poor decision she made.,She felt hate and blame because of the poor decision she made.,test sentence,test sentence2,Stimuli/all_parts_combined_He_sauntered_up_to_the_counter_and_placed_his_order_.wav,placeholder question
129,blankets and kittens,Jean likes snuggling with her blankets and kittens while she reads a book.,Jean likes snuggling with her kittens and blankets while she reads a book.,test sentence,test sentence2,Stimuli/all_parts_combined_She_met_the_high_expectations_of_her_mentors_.wav,placeholder question
130,blankets and kittens,Seth told me that there are blankets and kittens in that box over there.,Seth told me that there are kittens and blankets in that box over there.,test sentence,test sentence2,Stimuli/all_parts_combined_We_were_cleaning_up_the_house_when_she_unexpectedly_arrived_.wav,placeholder question
131,blankets and kittens,There was a giant heap of blankets and kittens in the middle of the living room floor.,There was a giant heap of kittens and blankets in the middle of the living room floor.,test sentence,test sentence2,Stimuli/all_parts_combined_As_the_night_grows_darker__the_feeling_of_unease_creeps_up_on_him_.wav,placeholder question
132,blood and flesh,Although Rhonda was not Nick's blood and flesh he considered her part of his family.,Although Rhonda was not Nick's flesh and blood he considered her part of his family.,test sentence,test sentence2,Stimuli/all_parts_combined_I_missed_the_important_appointment_because_I_confused_the_dates_.wav,placeholder question
133,blood and guts,The film showed blood and guts which made them very uncomfortable.,The film showed guts and blood which made them very uncomfortable.,test sentence,test sentence2,Stimuli/all_parts_combined_They_enjoyed_the_ocean_breeze_while_pacing_around_the_promenade_.wav,placeholder question
134,blossom and leaf,Ethan kept track of the blossom and leaf of the plant to make sure it was healthy.,Ethan kept track of the leaf and blossom of the plant to make sure it was healthy.,test sentence,test sentence2,Stimuli/all_parts_combined_It_took_three_hours__but_the_battery_was_completely_charged_up_.wav,placeholder question
135,boardinghouses and hotels,She spent a lot of time in boardinghouses and hotels during her summer travels.,She spent a lot of time in hotels and boardinghouses during her summer travels.,test sentence,test sentence2,Stimuli/all_parts_combined_He_lifted_a_heavy_box_onto_the_shelf_.wav,placeholder question
136,boats and ships,The pier was full of boats and ships ready to take off on an adventure.,The pier was full of ships and boats ready to take off on an adventure.,test sentence,test sentence2,Stimuli/all_parts_combined_She_scrambled_up_the_rocky_slope_.wav,placeholder question
137,bodies and faces,Grant wrote a poem about how everyone's bodies and faces are beautiful and unique.,Grant wrote a poem about how everyone's faces and bodies are beautiful and unique.,test sentence,test sentence2,Stimuli/all_parts_combined_They_eased_the_mood_after_the_tense_argument_.wav,placeholder question
138,body and breath,"Both his body and breath smelled, which made him embarassed.","Both his breath and body smelled, which made him embarassed.",test sentence,test sentence2,Stimuli/all_parts_combined_The_bird_flew_across_the_sky_.wav,placeholder question
139,body and face,"After visiting many stores, Ann finally found a body and face sunscreen that worked well for her skin.","After visiting many stores, Ann finally found a face and body sunscreen that worked well for her skin.",test sentence,test sentence2,Stimuli/all_parts_combined_The_price_of_goods_keeps_increasing_.wav,placeholder question
140,body and head,"When drawing people, Suzanne struggles with sketching the body and head because she can never get the proportions right.","When drawing people, Suzanne struggles with sketching the head and body because she can never get the proportions right.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_time_to_pay_up_for_the_services_rendered_.wav,placeholder question
141,body and mind,"A professional athlete must train both body and mind in order to not only perform well, but also be able to do so under stress.","A professional athlete must train both mind and body in order to not only perform well, but also be able to do so under stress.",test sentence,test sentence2,Stimuli/all_parts_combined_He_is_laying_in_bed_due_to_illness_.wav,placeholder question
142,body and mind,Learning to strengthen your body and mind is one of main purposes of doing yoga.,Learning to strengthen your mind and body is one of main purposes of doing yoga.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fish_swim_up_the_stream_during_spawning_season_.wav,placeholder question
143,body and mind,Seth wanted to relax both his body and mind before taking the final.,Seth wanted to relax both his mind and body before taking the final.,test sentence,test sentence2,Stimuli/all_parts_combined_The_shop_closes_up_for_the_night_.wav,placeholder question
144,body and mind,She talked about the importance of keeping your body and mind super healthy and strong.,She talked about the importance of keeping your mind and body super healthy and strong.,test sentence,test sentence2,Stimuli/all_parts_combined_The_clothes_were_drying_in_the_sun_.wav,placeholder question
145,bombers and missiles,"During the war, the bombers and missiles caused a lot of destruction.","During the war, the missiles and bombers caused a lot of destruction.",test sentence,test sentence2,Stimuli/all_parts_combined_She_stepped_up_to_the_podium_to_give_her_speech_.wav,placeholder question
146,bone and flesh,"After a hard fall, you could see the bone and flesh of the basketball player's leg.","After a hard fall, you could see the flesh and bone of the basketball player's leg.",test sentence,test sentence2,Stimuli/all_parts_combined_The_balloon_exploded_with_a_loud_pop_.wav,placeholder question
147,bone and muscle,The doctor studied the bone and muscle of the patient's injured leg.,The doctor studied the muscle and bone of the patient's injured leg.,test sentence,test sentence2,Stimuli/all_parts_combined_He_decided_to_hit_up_his_old_friend_to_see_if_he_wanted_to_hang_out_.wav,placeholder question
148,bones and skulls,Scientists study the bones and skulls of long-extinct animal species.,Scientists study the skulls and bones of long-extinct animal species.,test sentence,test sentence2,Stimuli/all_parts_combined_They_found_buried_treasure_in_the_backyard_.wav,placeholder question
149,boots and jacket,"On a trip to the mountains, Jane forgot her boots and jacket at home, so she had to make a trip to the mall.","On a trip to the mountains, Jane forgot her jacket and boots at home, so she had to make a trip to the mall.",test sentence,test sentence2,Stimuli/all_parts_combined_He_held_up_the_traffic_with_his_car_accident_.wav,placeholder question
150,boots and shoes,My suitcase was full of boots and shoes which made it exceed the weight limit.,My suitcase was full of shoes and boots which made it exceed the weight limit.,test sentence,test sentence2,Stimuli/all_parts_combined_The_bird_flew_to_its_nest_in_the_tree_.wav,placeholder question
151,boredom and loneliness,Chloe experienced boredom and loneliness over the summer because she missed her college friends.,Chloe experienced loneliness and boredom over the summer because she missed her college friends.,test sentence,test sentence2,Stimuli/all_parts_combined_They_proceeded_up_the_stairs_to_the_next_floor_.wav,placeholder question
152,boulders and ledges,Paula climbed boulders and ledges with her friend Chris.,Paula climbed ledges and boulders with her friend Chris.,test sentence,test sentence2,Stimuli/all_parts_combined_She_typed_the_report_on_her_computer_.wav,placeholder question
153,bouquets and wreaths,"At certain times of year, bouquets and wreaths are often gifted to neighbors as tokens of appreciation.","At certain times of year, wreaths and bouquets are often gifted to neighbors as tokens of appreciation.",test sentence,test sentence2,Stimuli/all_parts_combined_They_rigged_up_a_makeshift_tent_in_the_woods_.wav,placeholder question
154,bourbon and water,All the bar had to drink was bourbon and water so they decided to try another place.,All the bar had to drink was water and bourbon so they decided to try another place.,test sentence,test sentence2,Stimuli/all_parts_combined_He_angrily_shredded_the_letter_.wav,placeholder question
155,boys and girls,The teacher separated the boys and girls into two groups.,The teacher separated the girls and boys into two groups.,test sentence,test sentence2,Stimuli/all_parts_combined_She_cooked_up_a_delicious_meal_for_her_guests_.wav,placeholder question
156,boys and men,There were a lot of boys and men at the park today.,There were a lot of men and boys at the park today.,test sentence,test sentence2,Stimuli/all_parts_combined_He_felt_the_fabric_to_check_its_texture_.wav,placeholder question
157,brain and intelligence,The committee admired the applicant's brain and intelligence so much that they decided to award her the prize.,The committee admired the applicant's intelligence and brain so much that they decided to award her the prize.,test sentence,test sentence2,Stimuli/all_parts_combined_They_drank_up_all_the_water_in_the_bottle_.wav,placeholder question
158,brains and talent,Georgina had both the brains and talent to be successful at her job.,Georgina had both the talent and brains to be successful at her job.,test sentence,test sentence2,Stimuli/all_parts_combined_Investors_often_sell_shares_of_companies_beyond_reason_.wav,placeholder question
159,bread and butter,Brent likes to eat bread and butter for breakfast when he doesn't have a lot of time in the morning.,Brent likes to eat butter and bread for breakfast when he doesn't have a lot of time in the morning.,test sentence,test sentence2,Stimuli/all_parts_combined_A_press_up_is_one_of_Jim_s_favorite_exercises_.wav,placeholder question
160,bread and cheese,Xavier brought bread and cheese to the potluck at the beach.,Xavier brought cheese and bread to the potluck at the beach.,test sentence,test sentence2,Stimuli/all_parts_combined_She_wanted_to_carry_the_heavy_boxes_to_the_attic_.wav,placeholder question
161,breakfast and dinner,Molly decided that breakfast and dinner are her favorite meals of the day.,Molly decided that dinner and breakfast are her favorite meals of the day.,test sentence,test sentence2,Stimuli/all_parts_combined_The_goods_were_done_up_in_bundles_for_shipment_.wav,placeholder question
162,breakfast and luncheon,The conference had a breakfast and luncheon included on the itinerary.,The conference had a luncheon and breakfast included on the itinerary.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_making_a_new_fence_in_the_backyard_.wav,placeholder question
163,brick and glass,A lot of brick and glass was needed to finish building the house.,A lot of glass and brick was needed to finish building the house.,test sentence,test sentence2,Stimuli/all_parts_combined_She_s_typing_up_the_meeting_minutes_on_her_laptop_.wav,placeholder question
164,bride and groom,John showed me pictures of the bride and groom both dressed in blue.,John showed me pictures of the groom and bride both dressed in blue.,test sentence,test sentence2,Stimuli/all_parts_combined_He_assessed_his_opponent_before_the_match_.wav,placeholder question
165,bride and groom,"They had a long engagement, so the bride and groom were excited that it was finally their wedding day.","They had a long engagement, so the groom and bride were excited that it was finally their wedding day.",test sentence,test sentence2,Stimuli/all_parts_combined_She_sweeps_up_the_fallen_leaves_from_the_yard_.wav,placeholder question
166,bride and groom,"When the band played them a demo of the song they wanted, the bride and groom decided to look for a different one.","When the band played them a demo of the song they wanted, the groom and bride decided to look for a different one.",test sentence,test sentence2,Stimuli/all_parts_combined_People_annoyed_her__almost_tripping_them_both_by_how_close_they_were_.wav,placeholder question
167,bride and groom,I think that the bride and groom are very excited about the upcoming wedding.,I think that the groom and bride are very excited about the upcoming wedding.,test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_wear_your_jacket_when_going_outside_in_the_winter_.wav,placeholder question
168,brother and mother,Last week my brother and mother came to visit me in my new apartment.,Last week my mother and brother came to visit me in my new apartment.,test sentence,test sentence2,Stimuli/all_parts_combined_The_sink_is_plugged_up_and_needs_fixing_.wav,placeholder question
169,brother and sister,Paul wants to spend time with his brother and sister because he doesn't get to see them very often.,Paul wants to spend time with his sister and brother because he doesn't get to see them very often.,test sentence,test sentence2,Stimuli/all_parts_combined_She_s_feeling_the_fabric_to_assess_its_quality_.wav,placeholder question
170,brothers and sisters,"Andrew had always shared his room with his brothers and sisters, so he was excited to have a new roommate in college.","Andrew had always shared his room with his sisters and brothers, so he was excited to have a new roommate in college.",test sentence,test sentence2,Stimuli/all_parts_combined_The_tree_bent_up_in_the_strong_wind_.wav,placeholder question
171,brothers and sisters,I always love seeing my brothers and sisters when I go home for the holidays.,I always love seeing my sisters and brothers when I go home for the holidays.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fish_swam_to_the_surface_of_the_pond_.wav,placeholder question
172,brothers and sisters,The oldest son in the large family was often overwhelmed by his brothers and sisters when he was made to babysit.,The oldest son in the large family was often overwhelmed by his sisters and brothers when he was made to babysit.,test sentence,test sentence2,Stimuli/all_parts_combined_She_oftens_wraps_up_the_gifts_with_colorful_paper_.wav,placeholder question
173,brothers and sisters,When we were younger my brothers and sisters wanted a Beagle puppy.,When we were younger my sisters and brothers wanted a Beagle puppy.,test sentence,test sentence2,Stimuli/all_parts_combined_She_shredded_the_paper_in_anger_.wav,placeholder question
174,brow and cheeks,Veronica wanted to buy some new makeup products to highlight her brow and cheeks for when she goes out.,Veronica wanted to buy some new makeup products to highlight her cheeks and brow for when she goes out.,test sentence,test sentence2,Stimuli/all_parts_combined_The_dog_fetched_up_the_ball_and_brought_it_back_.wav,placeholder question
175,brush and trees,Amanda loved all the brush and trees that surrounded her house.,Amanda loved all the trees and brush that surrounded her house.,test sentence,test sentence2,Stimuli/all_parts_combined_He_slid_down_the_slippery_slope_.wav,placeholder question
176,Burma and India,They talked about visiting Burma and India for their upcoming honeymoon.,They talked about visiting India and Burma for their upcoming honeymoon.,test sentence,test sentence2,Stimuli/all_parts_combined_They_penned_up_the_horses_in_the_stable_.wav,placeholder question
177,bushes and vines,All of the bushes and vines in the backyard made Mandy very happy.,All of the vines and bushes in the backyard made Mandy very happy.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_meeting_up_at_the_cafe_for_a_chat_.wav,placeholder question
178,buy and sell,Caleb likes to buy and sell electronics on eBay as a hobby.,Caleb likes to sell and buy electronics on eBay as a hobby.,test sentence,test sentence2,Stimuli/all_parts_combined_He_marked_the_document_with_revisions_.wav,placeholder question
179,buy and sell,Consignment stores are a great way to both buy and sell old things.,Consignment stores are a great way to both sell and buy old things.,test sentence,test sentence2,Stimuli/all_parts_combined_She_dragged_up_a_chair_to_sit_at_the_table_.wav,placeholder question
180,buy and sell,I like to go to the local swap meet to buy and sell old records.,I like to go to the local swap meet to sell and buy old records.,test sentence,test sentence2,Stimuli/all_parts_combined_The_hot_water_made_the_windows_foggy_.wav,placeholder question
181,cakes and pies,Hannah had a real sweet tooth for cakes and pies so she took up baking as a hobby.,Hannah had a real sweet tooth for pies and cakes so she took up baking as a hobby.,test sentence,test sentence2,Stimuli/all_parts_combined_They_geared_up_for_the_intense_competition_.wav,placeholder question
182,calluses and corns,The grandmother had a lot of calluses and corns on her feet which made it difficult to walk.,The grandmother had a lot of corns and calluses on her feet which made it difficult to walk.,test sentence,test sentence2,Stimuli/all_parts_combined_He_reaches_to_grab_the_item_on_the_high_shelf_.wav,placeholder question
183,campfires and wildfires,The ranger warned that proper containment was the only barrier between campfires and wildfires in this dry weather.,The ranger warned that proper containment was the only barrier between wildfires and campfires in this dry weather.,test sentence,test sentence2,Stimuli/all_parts_combined_They_remembered_old_memories_during_the_conversation_.wav,placeholder question
184,campfires and wildfires,The rangers seemed to act like campfires and wildfires were the same thing.,The rangers seemed to act like wildfires and campfires were the same thing.,test sentence,test sentence2,Stimuli/all_parts_combined_He_said_that_the_price_keeps_fluctating__ranging_up_to_three_times_its_original_value_.wav,placeholder question
185,campfires and wildfires,We encountered many campfires and wildfires on our hike through the wilderness last weekend.,We encountered many wildfires and campfires on our hike through the wilderness last weekend.,test sentence,test sentence2,Stimuli/all_parts_combined_The_athlete_was_leaping_to_reach_the_high_bar_.wav,placeholder question
186,candies and cookies,Stephen's parents banned candies and cookies from the house because he kept getting cavities.,Stephen's parents banned cookies and candies from the house because he kept getting cavities.,test sentence,test sentence2,Stimuli/all_parts_combined_He_didn_t_know_what_to_do_to_shake_up_the_industry_.wav,placeholder question
187,captain and leader,The team thought of her as a captain and leader even though she didn't officially have the title.,The team thought of her as a leader and captain even though she didn't officially have the title.,test sentence,test sentence2,Stimuli/all_parts_combined_The_sink_was_clogged_with_food_scraps_.wav,placeholder question
188,cattle and horses,"On the ranch, there are cattle and horses roaming around the green pastures.","On the ranch, there are horses and cattle roaming around the green pastures.",test sentence,test sentence2,Stimuli/all_parts_combined_They_re_hooking_up_the_new_TV_to_the_cable_box_.wav,placeholder question
189,cause and consequence,Finn didn't want to think about the cause and consequence of him losing his job.,Finn didn't want to think about the consequence and cause of him losing his job.,test sentence,test sentence2,Stimuli/all_parts_combined_The_tension_started_to_mount_up_as_the_deadline_approached_.wav,placeholder question
190,cause and effect,"Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.","Ryan was uncertain about the effect and cause of inflation, so he did some research about it online.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_buy_food_for_your_pantry_before_a_storm_.wav,placeholder question
191,ceiling and walls,The painter finished painting the ceiling and walls of all of the bedrooms.,The painter finished painting the walls and ceiling of all of the bedrooms.,test sentence,test sentence2,Stimuli/all_parts_combined_She_needed_to_tighten_up_the_screws_on_the_machine_.wav,placeholder question
192,celebration and ritual,The event was considered both a celebration and ritual by all who attended.,The event was considered both a ritual and celebration by all who attended.,test sentence,test sentence2,Stimuli/all_parts_combined_He_always_hangs_out_with_his_friends_after_a_long_absence_.wav,placeholder question
193,cents and dollars,The boy brought his cents and dollars to the store to buy an ice cream cone.,The boy brought his dollars and cents to the store to buy an ice cream cone.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_using_the_remaining_paint_for_the_project_.wav,placeholder question
194,certainty and order,Jake liked the certainty and order that his job provided him.,Jake liked the order and certainty that his job provided him.,test sentence,test sentence2,Stimuli/all_parts_combined_He_thought_up_a_brilliant_idea_overnight_.wav,placeholder question
195,certainty and security,Trish appreciated the certainty and security that her job as a dentist provided.,Trish appreciated the security and certainty that her job as a dentist provided.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fire_seemed_to_burn_everything_in_its_path_.wav,placeholder question
196,chair and table,They noticed that the chair and table were knocked over after the earthquake.,They noticed that the table and chair were knocked over after the earthquake.,test sentence,test sentence2,Stimuli/all_parts_combined_He_wanted_to_buy_up_all_the_tickets_for_the_concert_.wav,placeholder question
197,chairs and sofas,The hoarder had many chairs and sofas in their living room.,The hoarder had many sofas and chairs in their living room.,test sentence,test sentence2,Stimuli/all_parts_combined_She_needs_to_write_a_detailed_report_of_the_incident_.wav,placeholder question
198,chairs and table,The event planner fixed the chairs and table to accommodate all of the wedding guests.,The event planner fixed the table and chairs to accommodate all of the wedding guests.,test sentence,test sentence2,Stimuli/all_parts_combined_He_needs_to_think_up_a_creative_solution_quickly_.wav,placeholder question
199,chanting and enchanting,"At the wizard school, chanting and enchanting were very common occurrences.","At the wizard school, enchanting and chanting were very common occurrences.",test sentence,test sentence2,Stimuli/all_parts_combined_The_controversy_is_stirring_up_a_heated_debate_.wav,placeholder question
200,chanting and enchanting,The apprentice left the wizard to do his chanting and enchanting in peace.,The apprentice left the wizard to do his enchanting and chanting in peace.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_always_talking_about_the_latest_news_and_gossip_.wav,placeholder question
201,chanting and enchanting,The practice of chanting and enchanting was common in the cult Mary joined.,The practice of enchanting and chanting was common in the cult Mary joined.,test sentence,test sentence2,Stimuli/all_parts_combined_The_upperclass_students_led_the_school_s_prestigious_debate_team_to_victory_.wav,placeholder question
202,character and wisdom,His mom's character and wisdom made her someone he would go to for advice.,His mom's wisdom and character made her someone he would go to for advice.,test sentence,test sentence2,Stimuli/all_parts_combined_She_put_the_photos_from_her_vacation_onto_social_media_for_everyone_to_see_.wav,placeholder question
203,characters and situations,Cheryl considered the characters and situations in the novel she was writing.,Cheryl considered the situations and characters in the novel she was writing.,test sentence,test sentence2,Stimuli/all_parts_combined_The_reuptake_of_neurotransmitters_in_the_brain_plays_a_crucial_role_in_regulating_mood_.wav,placeholder question
204,charm and variety,Anthony missed the charm and variety of living in a big city.,Anthony missed the variety and charm of living in a big city.,test sentence,test sentence2,Stimuli/all_parts_combined_The_integrity_of_his_character_was_evident_in_every_decision_he_made_.wav,placeholder question
205,charts and maps,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,Dr. Morganstern took out his maps and charts in order to document where he found the last fossil.,test sentence,test sentence2,Stimuli/all_parts_combined_I_noticed_a_charming_walkup_building_with_a_vibrant_red_door_nestled_in_the_heart_of_the_city_.wav,placeholder question
206,chauffeurs and stewardesses,The growth of the travel industry led to many openings for chauffeurs and stewardesses in the area.,The growth of the travel industry led to many openings for stewardesses and chauffeurs in the area.,test sentence,test sentence2,Stimuli/all_parts_combined_The_destruction_of_the_water_pipe_caused_a_flood_in_the_basement_.wav,placeholder question
207,chauffeurs and stewardesses,The rich actress had many chauffeurs and stewardesses to wait on her.,The rich actress had many stewardesses and chauffeurs to wait on her.,test sentence,test sentence2,Stimuli/all_parts_combined_Known_for_his_honesty_and_integrity__he_was_regarded_as_an_upstanding_citizen_in_the_community_.wav,placeholder question
208,chauffeurs and stewardesses,"When I met many chauffeurs and stewardesses at a party, I started questioning my job.","When I met many stewardesses and chauffeurs at a party, I started questioning my job.",test sentence,test sentence2,Stimuli/all_parts_combined_The_gust_of_wind_created_a_draft_that_lifted_the_kite_high_into_the_sky_.wav,placeholder question
209,checks and money,Graham disliked handling checks and money so he decided not to run for treasurer of the club.,Graham disliked handling money and checks so he decided not to run for treasurer of the club.,test sentence,test sentence2,Stimuli/all_parts_combined_The_wedding_ceremony_marked_their_nuptial_union_and_celebration_of_love_.wav,placeholder question
210,cherries and llamas,"Even with all the other attractions, the cherries and llamas were my favorite parts of the farm visit.","Even with all the other attractions, the llamas and cherries were my favorite parts of the farm visit.",test sentence,test sentence2,Stimuli/all_parts_combined_The_collapse_of_the_two_companies_resulted_in_significant_changes_in_the_industry_.wav,placeholder question
211,cherries and llamas,The third grade class saw cherries and llamas at the state fair.,The third grade class saw llamas and cherries at the state fair.,test sentence,test sentence2,Stimuli/all_parts_combined_She_upbraided_her_colleagues_for_their_unprofessional_behavior_during_the_meeting_.wav,placeholder question
212,cherries and llamas,"When I was a kid, cherries and llamas were my favorite things.","When I was a kid, llamas and cherries were my favorite things.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_schedule_regular_physicals_to_maintain_good_health_.wav,placeholder question
213,chest and stomach,Tom felt pain in both his chest and stomach so he decided to stay home from school.,Tom felt pain in both his stomach and chest so he decided to stay home from school.,test sentence,test sentence2,Stimuli/all_parts_combined_The_satellite_established_a_reliable_uplink_for_communication_with_the_space_station_.wav,placeholder question
214,child and husband,Rachel lived with her child and husband in a small apartment in New York City.,Rachel lived with her husband and child in a small apartment in New York City.,test sentence,test sentence2,Stimuli/all_parts_combined_Hereafter__they_decided_to_embark_on_a_new_adventure_together_.wav,placeholder question
215,child and mother,"After the birth, both child and mother were asleep in the hospital bed.","After the birth, both mother and child were asleep in the hospital bed.",test sentence,test sentence2,Stimuli/all_parts_combined_The_uncoupling_of_the_train_cars_caused_a_delay_in_the_transportation_system_.wav,placeholder question
216,child and mother,Clarissa found the painting of a child and mother to be very moving.,Clarissa found the painting of a mother and child to be very moving.,,,,
217,child and mother,The man went out of his way to help the child and mother who were looking lost at the airport.,The man went out of his way to help the mother and child who were looking lost at the airport.,,,,
218,child and wife,Bill wanted to take his child and wife on a tropical vacation.,Bill wanted to take his wife and child on a tropical vacation.,,,,
219,childhood and infancy,The students watched a video on childhood and infancy in their human development class.,The students watched a video on infancy and childhood in their human development class.,,,,
220,choice and decision,It was her choice and decision to stay home for the summer instead of traveling through South America.,It was her decision and choice to stay home for the summer instead of traveling through South America.,,,,
221,chopping and sawing,It took a lot of chopping and sawing to remove the dead trees.,It took a lot of sawing and chopping to remove the dead trees.,,,,
222,Christmas and Easter,The child decided that Christmas and Easter were her favorite holidays.,The child decided that Easter and Christmas were her favorite holidays.,,,,
223,chrome and glass,The architect said that chrome and glass are his favorite materials to use in his designs.,The architect said that glass and chrome are his favorite materials to use in his designs.,,,,
224,church and community,Tim has said that his church and community are very important to him.,Tim has said that his community and church are very important to him.,,,,
225,church and graveyard,The couple found out that the church and graveyard are right behind their new house.,The couple found out that the graveyard and church are right behind their new house.,,,,
226,church and state,Both the church and state agreed on the education reforms.,Both the state and church agreed on the education reforms.,,,,
227,church and state,Catherine was not surprised that tensions between church and state ran high during the election season.,Catherine was not surprised that tensions between state and church ran high during the election season.,,,,
228,church and state,There is a lot of debate about the separation of church and state is being interpreted too literally in today's society.,There is a lot of debate about the separation of state and church is being interpreted too literally in today's society.,,,,
229,city and country,Her love for her city and country made her want to get into politics.,Her love for her country and city made her want to get into politics.,,,,
230,city and county,The meeting had representatives from both the city and county to discuss policy changes.,The meeting had representatives from both the county and city to discuss policy changes.,,,,
231,city and state,He liked his city and state too much to move away.,He liked his state and city too much to move away.,,,,
232,clarity and precision,Devin tried to achieve clarity and precision in everything he did.,Devin tried to achieve precision and clarity in everything he did.,,,,
233,classmates and friends,We have been classmates and friends all the way from kindergarten to college.,We have been friends and classmates all the way from kindergarten to college.,,,,
234,clay and wax,"Jackie loved doing different crafts, so she had a lot of clay and wax readily available to her.","Jackie loved doing different crafts, so she had a lot of wax and clay readily available to her.",,,,
235,cliches and stereotypes,The movie had a lot of cliches and stereotypes but it was still one of Kim's favorites.,The movie had a lot of stereotypes and cliches but it was still one of Kim's favorites.,,,,
236,clippings and pictures,She used many clippings and pictures for the collage she was working on.,She used many pictures and clippings for the collage she was working on.,,,,
