Binomial (Alphabetical)	Sentence
abashed and sorry	The woman was sorry and abashed when she realized her mistake.	
felines and quails	The zoologist took time to document the variety of felines and quails in the area.	
felines and quails	The zoologist took time to document the variety of quails and felines in the area.	
church and state	There is a lot of debate about the separation of church and state is being interpreted too literally in today's society.	
church and state	There is a lot of debate about the separation of state and church is being interpreted too literally in today's society.	
demand and supply	"There is an imbalance of demand and supply for books in the digital age.		"	
demand and supply	"There is an imbalance of supply and demand for books in the digital age.		"	
magazines and newspapers	There is much concern about the future of magazines and newspapers in a society that is increasingly online.	
magazines and newspapers	There is much concern about the future of newspapers and magazines in a society that is increasingly online.	
blankets and kittens	There was a giant heap of blankets and kittens in the middle of the living room floor.	
blankets and kittens	There was a giant heap of kittens and blankets in the middle of the living room floor.	
bishops and seamstresses	There was a huge increase in transactions between bishops and seamstresses in the weeks prior to the ceremony.	
bishops and seamstresses	There was a huge increase in transactions between seamstresses and bishops in the weeks prior to the ceremony.	
felines and quails	There were always felines and quails in the woods behind my house.	
felines and quails	There were always quails and felines in the woods behind my house.	
men and women	"There were an equal number of men and women who applied to the business school this year.		"	
men and women	"There were an equal number of women and men who applied to the business school this year.		"	
bishops and seamstresses	There were many bishops and seamstresses in the small town where I grew up.	
bishops and seamstresses	There were many seamstresses and bishops in the small town where I grew up.	
bride and groom	"They had a long engagement, so the bride and groom were excited that it was finally their wedding day."	
bride and groom	"They had a long engagement, so the groom and bride were excited that it was finally their wedding day."	
ducks and peanuts	They saw many ducks and peanuts on their trip to the zoo.	
ducks and peanuts	They saw many peanuts and ducks on their trip to the zoo.	
actresses and lumberjacks	This bar is popular among the actresses and lumberjacks who live in the neighborhood.	
actresses and lumberjacks	This bar is popular among the lumberjacks and actresses who live in the neighborhood.	
shares and stocks	Valerie didn't know how to buy shares and stocks so she asked a friend to help her.	
shares and stocks	Valerie didn't know how to buy stocks and shares so she asked a friend to help her.	
campfires and wildfires	We encountered many campfires and wildfires on our hike through the wilderness last weekend.	
campfires and wildfires	We encountered many wildfires and campfires on our hike through the wilderness last weekend.	
magazines and newspapers	"When he went to bookstores, Peter usually looked at magazines and newspapers instead of novels.		"	
magazines and newspapers	"When he went to bookstores, Peter usually looked at newspapers and magazines instead of novels.		"	
chauffeurs and stewardesses	"When I met many chauffeurs and stewardesses at a party, I started questioning my job."	
chauffeurs and stewardesses	"When I met many stewardesses and chauffeurs at a party, I started questioning my job."	
cherries and llamas	"When I was a kid, cherries and llamas were my favorite things.		"	
cherries and llamas	"When I was a kid, llamas and cherries were my favorite things.		"	
bride and groom	"When the band played them a demo of the song they wanted, the bride and groom decided to look for a different one."	
bride and groom	"When the band played them a demo of the song they wanted, the groom and bride decided to look for a different one."	
error and trial	"While all can agree that error and trial is effective, there are often better ways to solve problems.		"	
error and trial	"While all can agree that trial and error is effective, there are often better ways to solve problems.		"	
flowers and zinnias	"While walking my dog, I admired the flowers and zinnias lining the gardens in the neighborhood."	
flowers and zinnias	"While walking my dog, I admired the zinnias and flowers lining the gardens in the neighborhood."	
intents and purposes	"With some difficulty, I inferred the intents and purposes of the new committee from the vague speeches they gave."	
intents and purposes	"With some difficulty, I inferred the purposes and intents of the new committee from the vague speeches they gave."	
